#  Time      R1      e_R1      R2      e_R2       R3     e_R3      R4       e_R4
  38.720   292.00    17.09    78.00     8.83    10.00     3.16     9.00     3.00
  39.527   272.00    16.49    65.00     8.06    17.00     4.12     9.00     3.00
  40.333   243.00    15.59    58.00     7.62    21.00     4.58     4.00     2.00
  41.140   222.00    14.90    56.00     7.48    24.00     4.90     4.00     2.00
  41.947   217.00    14.73    53.00     7.28    19.00     4.36     7.00     2.65
  42.753   230.00    15.17    72.00     8.49    13.00     3.61     3.00     1.73
  43.560   200.00    14.14    49.00     7.00    24.00     4.90     6.00     2.45
  44.367   186.00    13.64    41.00     6.40     7.00     2.65     6.00     2.45
  45.173   178.00    13.34    41.00     6.40    15.00     3.87     2.00     1.41
  45.980   167.00    12.92    45.00     6.71    14.00     3.74     3.00     1.73
  46.787   169.00    13.00    37.00     6.08    13.00     3.61     6.00     2.45
  47.593   166.00    12.88    37.00     6.08    12.00     3.46     5.00     2.24
  48.400   140.00    11.83    34.00     5.83    13.00     3.61     7.00     2.65
  49.207   155.00    12.45    39.00     6.24     9.00     3.00     5.00     2.24
  50.013   122.00    11.05    37.00     6.08    14.00     3.74     4.00     2.00
  50.820   144.00    12.00    37.00     6.08     8.00     2.83     3.00     1.73
  51.627   129.00    11.36    31.00     5.57     7.00     2.65     4.00     2.00
  52.433   117.00    10.82    29.00     5.39    10.00     3.16     0.10     5.00
  53.240   120.00    10.95    23.00     4.80    12.00     3.46     2.00     1.41
  54.047   110.00    10.49    25.00     5.00     6.00     2.45     3.00     1.73
  54.853    95.00     9.75    22.00     4.69     7.00     2.65     1.00     2.00
  55.660    82.00     9.06    28.00     5.29     5.00     2.24     3.00     1.73
  56.467    95.00     9.75    23.00     4.80     5.00     2.24     3.00     1.73
  57.273    96.00     9.80    17.00     4.12     7.00     2.65     4.00     2.00
  58.080    83.00     9.11    18.00     4.24     6.00     2.45     0.10     5.00
  58.887    86.00     9.27    20.00     4.47     3.00     1.73     3.00     1.73
  59.693    70.00     8.37    19.00     4.36     5.00     2.24     2.00     1.41
  60.500    74.00     8.60    19.00     4.36     6.00     2.45     4.00     2.00
  61.307    67.00     8.19    13.00     3.61     8.00     2.83     1.00     2.00
  62.113    66.00     8.12    17.00     4.12     7.00     2.65     2.00     1.41
  62.920    77.00     8.77     8.00     2.83     4.00     2.00     2.00     1.41
  63.727    75.00     8.66    15.00     3.87     5.00     2.24     3.00     1.73
  64.533    60.00     7.75    14.00     3.74     3.00     1.73     3.00     1.73
  65.340    58.00     7.62    15.00     3.87     3.00     1.73     4.00     2.00
  66.147    50.00     7.07     9.00     3.00     5.00     2.24     1.00     2.00
  66.953    39.00     6.24    13.00     3.61     8.00     2.83     1.00     2.00
  67.760    67.00     8.19    11.00     3.32     8.00     2.83     0.10     5.00
  68.567    30.00     5.48    11.00     3.32     9.00     3.00     1.00     2.00
  69.373    50.00     7.07    13.00     3.61     3.00     1.73     2.00     1.41
  70.180    35.00     5.92    18.00     4.24     0.10     5.00     2.00     1.41
  70.987    50.00     7.07    10.00     3.16     2.00     1.41     2.00     1.41
  71.793    44.00     6.63    15.00     3.87     4.00     2.00     1.00     2.00
  72.600    37.00     6.08     9.00     3.00     3.00     1.73     0.10     5.00
  73.407    31.00     5.57     4.00     2.00     0.10     5.00     0.10     5.00
  74.213    30.00     5.48    12.00     3.46     2.00     1.41     4.00     2.00
  75.020    29.00     5.39     5.00     2.24     1.00     2.00     2.00     1.41
  75.827    28.00     5.29     5.00     2.24     4.00     2.00     0.10     5.00
  76.633    30.00     5.48     8.00     2.83     1.00     2.00     3.00     1.73
  77.440    29.00     5.39     6.00     2.45     0.10     5.00     0.10     5.00
  78.247    23.00     4.80     2.00     1.41     2.00     1.41     1.00     2.00
  79.053    27.00     5.20     8.00     2.83     0.10     5.00     1.00     2.00
  79.860    20.00     4.47     8.00     2.83     1.00     2.00     2.00     1.41
