#Time      R1        e_R1    R2        e_R2     R3       e_R3      R4     e_R4
  53.760  2489.00    49.89   599.00    24.47   168.00    12.96    66.00     8.12
  55.040  2423.00    49.22   547.00    23.39   188.00    13.71    53.00     7.28
  56.320  2429.00    49.28   576.00    24.00   159.00    12.61    73.00     8.54
  57.600  2278.00    47.73   539.00    23.22   174.00    13.19    60.00     7.75
  58.880  2359.00    48.57   617.00    24.84   180.00    13.42    57.00     7.55
  60.160  2311.00    48.07   554.00    23.54   198.00    14.07    64.00     8.00
  61.440  2254.00    47.48   562.00    23.71   207.00    14.39    65.00     8.06
  62.720  2215.00    47.06   565.00    23.77   191.00    13.82    73.00     8.54
  64.000  2289.00    47.84   575.00    23.98   198.00    14.07    75.00     8.66
  65.280  2184.00    46.73   565.00    23.77   178.00    13.34    54.00     7.35
  66.560  2308.00    48.04   536.00    23.15   164.00    12.81    66.00     8.12
  67.840  2275.00    47.70   586.00    24.21   168.00    12.96    64.00     8.00
  69.120  2232.00    47.24   542.00    23.28   183.00    13.53    49.00     7.00
  70.400  2157.00    46.44   535.00    23.13   161.00    12.69    54.00     7.35
  71.680  2042.00    45.19   546.00    23.37   166.00    12.88    52.00     7.21
  72.960  2067.00    45.46   528.00    22.98   169.00    13.00    63.00     7.94
  74.240  2048.00    45.25   504.00    22.45   184.00    13.56    60.00     7.75
  75.520  2083.00    45.64   556.00    23.58   159.00    12.61    62.00     7.87
  76.800  2042.00    45.19   558.00    23.62   170.00    13.04    52.00     7.21
  78.080  1987.00    44.58   555.00    23.56   175.00    13.23    64.00     8.00
  79.360  1992.00    44.63   485.00    22.02   169.00    13.00    63.00     7.94
  80.640  2068.00    45.48   500.00    22.36   179.00    13.38    64.00     8.00
  81.920  2012.00    44.86   509.00    22.56   180.00    13.42    54.00     7.35
  83.200  2055.00    45.33   499.00    22.34   140.00    11.83    46.00     6.78
  84.480  2010.00    44.83   441.00    21.00   146.00    12.08    64.00     8.00
  85.760  1999.00    44.71   493.00    22.20   173.00    13.15    57.00     7.55
  87.040  1916.00    43.77   470.00    21.68   157.00    12.53    47.00     6.86
  88.320  1926.00    43.89   468.00    21.63   158.00    12.57    54.00     7.35
  89.600  1987.00    44.58   504.00    22.45   157.00    12.53    64.00     8.00
  90.880  1889.00    43.46   508.00    22.54   141.00    11.87    43.00     6.56
  92.160  1907.00    43.67   509.00    22.56   147.00    12.12    51.00     7.14
  93.440  1920.00    43.82   475.00    21.79   143.00    11.96    55.00     7.42
  94.720  1850.00    43.01   476.00    21.82   151.00    12.29    56.00     7.48
  96.000  1973.00    44.42   470.00    21.68   144.00    12.00    51.00     7.14
  97.280  1777.00    42.15   455.00    21.33   138.00    11.75    52.00     7.21
  98.560  1877.00    43.32   427.00    20.66   145.00    12.04    58.00     7.62
  99.840  1834.00    42.83   464.00    21.54   148.00    12.17    61.00     7.81
 101.120  1816.00    42.61   452.00    21.26   151.00    12.29    50.00     7.07
 102.400  1832.00    42.80   485.00    22.02   135.00    11.62    44.00     6.63
 103.680  1896.00    43.54   448.00    21.17   135.00    11.62    54.00     7.35
 104.960  1795.00    42.37   441.00    21.00   145.00    12.04    46.00     6.78
 106.240  1782.00    42.21   404.00    20.10   128.00    11.31    58.00     7.62
 107.520  1681.00    41.00   414.00    20.35   134.00    11.58    55.00     7.42
 108.800  1779.00    42.18   431.00    20.76   131.00    11.45    49.00     7.00
 110.080  1766.00    42.02   431.00    20.76   131.00    11.45    44.00     6.63
 111.360  1711.00    41.36   447.00    21.14   131.00    11.45    44.00     6.63
 112.640  1714.00    41.40   409.00    20.22   147.00    12.12    39.00     6.24
 113.920  1694.00    41.16   381.00    19.52   122.00    11.05    55.00     7.42
 115.200  1670.00    40.87   411.00    20.27   105.00    10.25    58.00     7.62
 116.480  1724.00    41.52   435.00    20.86   112.00    10.58    44.00     6.63
 117.760  1614.00    40.17   429.00    20.71   113.00    10.63    45.00     6.71
 119.040  1685.00    41.05   433.00    20.81   137.00    11.70    37.00     6.08
 120.320  1582.00    39.77   369.00    19.21   147.00    12.12    46.00     6.78
 121.600  1684.00    41.04   395.00    19.87   119.00    10.91    52.00     7.21
 122.880  1604.00    40.05   387.00    19.67   116.00    10.77    41.00     6.40
 124.160  1748.00    41.81   405.00    20.12   142.00    11.92    41.00     6.40
 125.440  1625.00    40.31   403.00    20.07   114.00    10.68    39.00     6.24
 126.720  1589.00    39.86   411.00    20.27   127.00    11.27    29.00     5.39
